ירושלים	281184
ליוורנו	-1
זאלקווא	-1
ווארשא	756135
טריפולי	-1
ווילנא	593116
לובלין	765876
קראקא	3094802
נאווי דוואהר	-1
וויניציאה	3164603
זולצבאך	-1
וינה	-1
קיעוו	703448
מאסקווע	524901
חוסט	-1
דירנפורט	-1
לודז'	-1
דראהאביטש	709611
פיורדה	-1
ירושלם	281184
קושטאנדינה	-1
קאלאמיי	-1
אמשטרדם	2759794
ווילנע	593116
קולומאה	-1
קאפוסט	-1
ויניציאה	3164603
הוראדנא	-1
אוסטרוג	-1
פרנקפורט דמין	-1
למברג	702550
לאדז'	-1
תל אביב	293397
בגדאד	-1
סלאוויטא	-1
תונס	-1
זיטאמיר	-1
שעדלעץ	-1
ריגע	-1
פרעמישלא	761168
אוסטרהא	-1
שקלאוו	-1
בילגורי	-1
ווארשע	756135
לעמבערג	702550
פריס	-1
סיגעט	667227
לבוב	702550
בילגורייא	-1
פיעטרקוב	-1
רעטיאג	-1
פרנקפורט דאודר	-1
פיטרקוב	-1
מונקאטש	-1
ברדיטשוב	-1
לאדזש	-1
תל-אביב	293397
ולנא	593116
יוזעפאף	-1
דיהרנפורט	-1
זאלקווי	-1
אוסרטהא	-1
נעוו-יארק	5128581
מינקוביץ	-1
פראג	-1
דובנא	709540
פולנאה	-1
שקלאב	-1
פלטבה	696643
בארג	-1
פראמפאל	-1
טשערנאוויץ	-1
ווארשי	756135
בערעזנע	-1
פטרבורג	-1
פרג	-1
חיפה	294801
ז'יטומיר	-1
פאקש	-1
ניו-יארק	5128581
פאריס	-1
ניו יארק	5128581
בערלין	2950159
ניו יורק	5128581
קניגסברג	-1
פראנקפורט א. מ.	-1
ברלין	2950159
ורשה	756135
ראמאן	668732
לונדון	-1
רודוס	400665
קרקוב	3094802
ווארשה	756135
פקש	-1
מנטובה	-1
וויען	-1
יפו	-1
ברוד	-1
וורשא	756135
גבעת ברנר	294998
אודסה	698740
"ס""ט פטרבורג"	-1
רעדעלהיים	-1
וילנה	593116
פראור	-1
מינסק	625144
סלאנים	621754
האמבורג	2911298
כלכתה	-1
סדילקוב	-1
לאדז	-1
קונסטאנטינופלה	-1
לאנדאן	-1
פרעסבורג	-1
צנז	-1
צפת	293100
הוסיאטין	-1
ניוארק	5128581
ווילנה	593116
ונזבק	-1
כארקאוו	-1
אדעס	698740
טורונטו	-1
טאראנטא	-1
סידלקאב	-1
סאלוניקו	734077
ווינא	-1
נויארק	5128581
קאלאמיא	-1
אדעססא	698740
קשיניב	-1
פינסק	623549
ווין	-1
הורדנה	-1
וילהרמסדורף	-1
בריסק	-1
קושטנידנה	-1
זאלקוי	-1
אזמיר	-1
מ' סיגעט	667227
נא אמון	-1
פראנקפורט	-1
מיץ	-1
קיידאן	598272
אנטווערפן.	-1
קמניץ	2940132
לעמברג	702550
ביאליסטאק	776069
סנט פטרבורג	-1
בודאפעשט	-1
ווענגראב	756046
בארדיטשב	-1
איזמירנה	-1
סדילקאב	-1
ויניזיא	3164603
ווילהרמרש דארף	-1
פונא	1259229
פאדובה	-1
ג'רבה	-1
קהיר	-1
ב'יינה	-1
אויגשפורג	-1
וינא	-1
אלכסנדריה	-1
מינכען	2867714
טשערנאוויטץ	-1
דובנה	709540
פרנקבורט דמיין	-1
פשעמישל	761168
אנטווערפן	-1
אוסטרה	-1
בומבי	-1
שקלוב	-1
אמסטרדם	2759794
קושטא	-1
טארנאפאל	-1
שאלוניקי	734077
פיזה	3170647
סוסה	-1
לונדן	-1
ליק	-1
דעווא	-1
ליייפציג	-1
"אר""ץ"	-1
ליפסיה	-1
סלאוויטה	-1
אמשטירדם	2759794
ג'נבה	-1
פיעטרוקב	-1
נויורק	5128581
בערעסטעטשקא	-1
בני ברק	295514
יאנוב	770473
ויניציזא	3164603
קאיירו	-1
ארם צובה	-1
וניציאה	3164603
אלג'יר	-1
בארדיטשוב	-1
אופנבך	-1
פיסא	3170647
שאראיי	-1
ריגא	456172
קובנה	598316
פרמישלה	761168
לומזה	766027
טירנוי	3057124
קישינוב	-1
ברעסלויא	3081368
זיטומיר	-1
וויזניטץ	-1
וויזניץ	-1
ברין	-1
נובי דבור	-1
ויניציה	3164603
קורפו	-1
ברילאן	-1
תלמסאן	-1
ניב'ייורק	5128581
פיורדא	-1
קארלסרוא	2892794
"פ""פ דאדר"	-1
פאלטאווא	696643
אמשטירדאם	2759794
רעדלהיים	-1
וינציאה	3164603
באסיליא	2661604
סאלוניקי	734077
דעסויא	2937959
מונקץ'	-1
ריוה די טרנטו	-1
דיהרן פארט	-1
זבריז	-1
אויביבאך	-1
במביי	-1
סטאניסלאב	707471
הומבורג	-1
בילוגראדו	792680
האנווא	-1
קאוונע	598316
טאלין	-1
אסכנדריה	-1
קאליש	-1
קאהיר	-1
סופיה	-1
וולינע	593116
סופיאה	-1
ראדזין	-1
קראקוי	3094802
האווי דוואהר	-1
סמרקנד	-1
האמעל	-1
באלקאני	-1
שיקאגא	4887398
בארדיוב	725168
ריווא דטרינטו	-1
רוסג'וק	-1
קראטאשין	-1
פתח תקוה	293918
קוספולי	-1
קושטאנטינה	-1
פיטרבורג	-1
שאלוניקו	734077
קאנטאבריגיא	-1
פירינצי	3176959
אפען	-1
קוסטאנדינה	-1
קרשאנוב	-1
פרסבורג	-1
שטעטטין	-1
רומא	3169070
סאטו-מארע	-1
פיוטרקוב	-1
קאוונא	598316
מצרים	-1
במבי	-1
וירונה	3164527
בארטפעלד	725168
יאסי	-1
לאורנו	-1
איזמיר	-1
סאטמאר	-1
פאריש	-1
שנגהאי	-1
פראנקפורט דמיין	-1
דרוהוביץ	709611
פרנקפורט דמיין	-1
קרמונה	-1
אודיסא	698740
פאריז	-1
"פ""פ דאדרה"	-1
כאזאבלאנכא	2553604
מרראקס	-1
וויענא	-1
מנשיסטיר	2643123
אפענבנאך	-1
בודאפעסט	-1
נוא-יארק	5128581
פראנפורט דמיין	-1
מינקאוויץ	-1
יוזפוף	-1
לינעוויל	-1
באסיליאה	2661604
בולונייא	3181928
שילוניקי	734077
"אמד""ם"	2759794
קושטנדינא	-1
פירארה	-1
ויניצייא	3164603
אופנבאך	-1
שיקאגע	4887398
דעווה	-1
אדעסא	698740
לפסיא	-1
האללע	-1
באסטאן	4930956
ווארשוי	756135
לעבערג	702550
בסליאה	2661604
קוגין	-1
ביינה	-1
באסעל	2661604
סביונטה	-1
וינידיג	3164603
בוענאס איירעס	3435910
וויטעבסק	620127
נייאי וויט	-1
דסאו	2937959
קרימונה	-1
יעסניץ	-1
גוזלווא	-1
גראיעווא	-1
סביוניטה	-1
אופיבאך	-1
קאניגסבערג	-1
הענוויא	-1
המבורגו	2911298
טראנאפול	-1
פילאדילפיא	4560349
קאלאמעא	-1
המבורג	2911298
זאלקווייא	-1
האלברשטאדט	-1
הנובר	2910831
טבריא	293322
פאדגורזע	-1
פרנקפורט דאדרא	-1
בוטשאטש	-1
למעבערג	702550
אפענבאך	-1
לנדון	-1
פילאדלפיא	4560349
פירטה	-1
פראנקפורט א.מ.	-1
לייפציג	-1
קצונטינא	-1
בארדיאב	725168
סנט לואיס	4407066
מעזיראוב	-1
פרנקפורט דאדרה	-1
קעטשקעמעט	3050434
קורוגישמי	-1
ויין	-1
אוקספורד	-1
קעניגסבערג	-1
בוקרשט	-1
וורשה	756135
בירות	-1
ליפציג	-1
אלטונא	-1
ווירסייליס	-1
אמשטלרדם	2759794
"פרנקפורט ע""נ מין"	-1
אוביבאך	-1
מראכש	-1
בגדד	-1
סט. לואיס	4407066
ווילהרמש דארף	-1
דעסוי	2937959
בזילאה	2661604
כלכתא	-1
ביאליסטאוק	776069
ויניזיאה	3164603
נוא יארק	5128581
ביאליסטק	776069
באזיליא	2661604
ביאליסטוק	776069
ווטצען	-1
ווייטצען	-1
וואטצען	-1
ליווערפול	-1
מארגרעטען	-1
ברוקלין	5110302
קלוז	681290
רחובות	293725
סלוניק	734077
כלכלתא	-1
מינץ	-1
קליינווארדיין	-1
לעמבורג	702550
איידטקוהנען	-1
יאהאנניסבורג	-1
פיליפפופולי	728193
ביליסטוק	776069
מיכאלאווצע	-1
קאששויא	724443
קאלאמעאה	-1
ניויורק	5128581
ניויארק	5128581
סנקט-פטרבורג	-1
זולצבך	-1
טובינגען	-1
בראדי	-1
אלעקסניץ	-1
פרנקפורט דאדר	-1
אופי באך	-1
שלוניקי	734077
שדה לבן	-1
פריבורג	-1
קארעץ	-1
פאריצך	-1
סלאפקוויץ	-1
שאלניקי	734077
פראנקפורט דאדר	-1
האנוואה	-1
באזיליאה	2661604
ונציה	3164603
שאמלויא	-1
דעעש	-1
אראדע גראסעארדיין	-1
טרנוב	-1
פראנקפורט על המיין	-1
איגלוי	-1
ווניציאה	3164603
טאלטשווא	-1
לודז	-1
ווראנוב	-1
ארשיווא	-1
קאשיצע	724443
ברעסלא	3081368
צרפנד	-1
ווילהמרשדארף	-1
ריווא דטרינט	-1
ניו-יורק	5128581
מארמאראשסיגעט	667227
הרובשוב	-1
טבריה	293322
פראנקפורט ע'נ מיין	-1
עין חרוד	-1
טשרנוביץ	-1
אלגיר	-1
טארנאוו	-1
מגנצא	-1
קארקא	3094802
רמת-גן	293788
איסטנבול	-1
מעקסיקע	-1
קושטאנדינא	-1
פאדגורזע אצל קראקא	-1
הידרנום	-1
בארדיאב סלאוואקיי	725168
לוק	-1
מאטעסאלקא	-1
אמסטערדאם	2759794
טרנא	-1
קונסענטימיקלאש	-1
ויניציא	3164603
באזיליה	2661604
סאטומארע	-1
קושטאנציא	-1
אמשטרדאם	2759794
פראגה	-1
פירארא	-1
אויגפשורג	-1
וויניציא	3164603
אדריאנופולי	747712
פזרו?	-1
קרקא	3094802
ויניצייאה	3164603
יאססי	-1
פירדא	-1
ליפסיא	-1
פשעמיסל	761168
סט פטרבורג	-1
בברויסק	630468
"פרנקפורט ענ""מ"	-1
שיקגו	4887398
טהארן	-1
בודאפשט	-1
קושטה	-1
האנובר	2910831
פרנקפורט	-1
איטליה	-1
מ. סיגעט	667227
פאדגורדא	-1
אוזהאראד	-1
נו-יארק	5128581
ליעדז	2644688
מעזובוש	-1
ווילמרש דארף	-1
נעזין	-1
קונסטאנטינופולי	-1
מוקצ'בו	-1
איסמירנה	-1
קלויזנבורג	681290
פרעמיסלא	761168
מאהלוב	-1
מאראמאראשסיגעט	667227
יאראסלויא	770380
ברוקלין-ניו-יארק	5110302
בארטפעלד בארדיאב	725168
פרזעמישל	761168
דיהרנפארט	-1
ברסלוי	3081368
פיערטקוב	-1
סאניק	-1
בואינוס איירס	3435910
נויוארק	5128581
באלטימאר	4347778
אונגוואר	-1
זלאטשוב	-1
העדרנום	-1
דמשק	170654
ריווה	-1
קושדאנדינא	-1
טרין	-1
פלשתינה	294640
האנוויא	-1
ריגייו	-1
בסיל	2661604
לונדריש	-1
אמשטילרדם	2759794
באקוי	685948
אודיסה	698740
קוונא	598316
פארדגורזש	-1
סינסינטי	-1
דעטראיט	4990729
טיסאלוניקי	734077
סניאטין	-1
קושטנטינה	-1
רימינו	6541863
פריז	-1
פרעססבורג	-1
קושטנדינה	-1
דיהרן פורט	-1
ורשא	756135
גרבא	-1
קושטנטינא	-1
אלונים	-1
בלוגראדו	792680
אופן באך	-1
דובראוונא	-1
מעזירוב	-1
בוקארעשט	-1
מינקאווץ	-1
בלגורייא	-1
איזנא	-1
איזנה	-1
בלגרד	792680
"קלוז""ש-קלויזענבורג"	681290
בוקאווסק	-1
ליידן	2751773
וווארשא	756135
אמשטילרדאם	2759794
טורקא	-1
פיעטרקאב	-1
אלטאנא	-1
בילסקו	-1
סטניסלאב	707471
סאנט לואיס	4407066
בילגוריי	-1
וין	-1
קאלקמעא	-1
בעקלעאן	-1
לאמזא	766027
יאס	-1
נא אמון-אלכסנדריאה	-1
סט. לואיס מא	4407066
קאוונה	598316
קיידאן ליטא	598272
גראייעווא	-1
סעאיני	-1
פאדגארזע	-1
קידן	598272
פרעסברוג	-1
יערוסלב	770380
זאקלווא	-1
פיראר	-1
אוביבך	-1
חארבין	-1
פרגא	-1
טורינו	3165524
ג'רבא	-1
טריעסט	-1
נאווי דווהר	-1
מישקאלץ	717582
קאששא	724443
אוהעלי	-1
קבנה	598316
קלוזש	681290
ריו דע זשאנעירא	-1
בוסטון	4930956
באטושאן	-1
טארנא	-1
וארשה	756135
אראדעא	-1
אזימרינה	-1
פילדלפיה	4560349
פעסט	-1
הרובישוב	-1
מעזירטש	-1
ברונא	-1
בילגוראדו	792680
ורנקבורט דמיין	-1
קיש-קערעש	-1
סופ'יאה	-1
פראגא	-1
בואנאס איירעס	3435910
מאנטרעאל	-1
פשמישל	761168
טאללין	-1
אטלאנטא	4180439
הילדעסהיים	-1
וואשינגטאן	-1
דרעזדען	-1
מונאטש	-1
יוזעפאב	-1
לאס אנגעלעס	-1
מוסקווע	524901
פילאדעלפיא פא.	4560349
נייארק	5128581
קאונאס	598316
פילאדעלפיא	4560349
זולבצאך	-1
